restaurant_id,restaurant_type,url,restaurant_name,restaurant_subtype,Rating,address,ratings_numbers,comments,delivery_time,delivery_fee,avg_price
0,American,https://www.doordash.com/convenience/store/dashmart-pittsburgh-1301635/,DashMart,Desserts,,,,,,,
1,American,https://www.doordash.com/store/the-cheesecake-factory-pittsburgh-263102/,The Cheesecake Factory,Desserts,4.2,,,,,,19.51954787234036
2,American,https://www.doordash.com/store/chick-fil-a-pittsburgh-1528290/,Chick-fil-A,American,,1175 Freeport Road,3600.0,"{'Fruit': 1, 'Cup': 1}",,,4.9344736842105235
3,American,https://www.doordash.com/store/popeyes-pittsburgh-262019/,Popeyes,Chicken,3.3,,5000.0,{},,,15.040123456790129
4,American,https://www.doordash.com/store/mcdonald%27s-pittsburgh-688160/,McDonald's,American,4.8,,8700.0,{},,,3.727142857142857
5,American,https://www.doordash.com/store/wendy%27s-pittsburgh-1313459/,Wendy's,Desserts,,,,,,,3.7551428571428556
6,American,https://www.doordash.com/store/wings-over-pittsburgh-782958/,Wings Over,American,5.0,,4800.0,{},,,32.14927710843373
7,American,https://www.doordash.com/store/noodles-%26-company-pittsburgh-379411/,Noodles & Company,American,5.0,,4100.0,{},,,3.9331578947368406
8,American,https://www.doordash.com/store/roots-natural-kitchen-pittsburgh-682949/,Roots Natural Kitchen,American,5.0,,3700.0,{},,,12.387837837837834
9,American,https://www.doordash.com/store/jj-poke-bowl-pittsburgh-1073941/,JJ Poke Bowl,Poke,5.0,,1600.0,{},,,8.266923076923073
10,American,https://www.doordash.com/store/ihop-pittsburgh-784850/,IHOP,American,5.0,,3500.0,{},,,12.29818181818182
11,American,https://www.doordash.com/store/el-jefe%27s-taqueria-pittsburgh-23510935/,El Jefe's Taqueria,Mexican,,3807 Forbes Avenue,227.0,{},34 min,0.0,6.296296296296297
12,American,https://www.doordash.com/store/totopo-mexican-kitchen-and-bar-pittsburgh-249016/,Totopo Mexican Kitchen and Bar,American,5.0,,1900.0,{},,,9.198076923076936
13,American,https://www.doordash.com/convenience/store/target-grocery-pittsburgh-2627903/,Target Grocery,Grocery,,,,,,,
14,American,https://www.doordash.com/store/insomnia-cookies-pittsburgh-23136764/,Insomnia Cookies,Desserts,,,,,,,9.688888888888888
15,American,https://www.doordash.com/store/franks-pizza-%26-chicken-millvale-249678/,Franks Pizza & Chicken,Chicken,5.0,,3200.0,{},,,11.306542056074766
16,American,https://www.doordash.com/store/penn-station-pittsburgh-1474039/,Penn Station,Sandwiches,,,311.0,{},,,7.405735294117654
17,American,https://www.doordash.com/store/smashed-waffle-pittsburgh-2303026/,Smashed Waffle,American,,,600.0,{},,,6.1388118811881185
18,American,https://www.doordash.com/store/kfc-bellevue-1129209/,KFC,American,5.0,,1300.0,{},,,11.820519480519486
19,American,https://www.doordash.com/store/tooktook98-pittsburgh-519682/,TookTook98,Thai,5.0,,1700.0,{},,,9.041632653061233
20,American,https://www.doordash.com/store/the-porch-pittsburgh-249248/,The Porch,American,,,1000.0,{},,,12.028301886792454
