,restaurant_name,address,category,location,price_level_G,curbside_pickup,delivery,dine_in,takeout,types,top_5_reviews,restaurant_type_x,avg_price_x,comments_x,url_x,delivery_fee_x,restaurant_type_y,url_y,restaurant_subtype,comments_y,avg_price_y,total_rating,avg_rating,avg_delivery_time
0,Wendy's,5422 Baum Blvd,fast food,"(40.4570114, -79.9374998)",1.0,False,True,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","['The service was amazing! I came in tonight (June 25th) at 11:45 pm ish they did such a good job and were so kind! People will complain about the long wait. Those people have never worked fast food in a post pandemic environment. These people deserve so much more than they are paid and I hope that they know how much they are appreciated. In a city where everything closes at 10 you can always count on Wendy’s!', ""We've had several experiences of French fries that were not fresh hot and crisp. Orders were filled incorrectly. And somehow, sometimes, our Jr Frosties were teeny-tiny sample sizes instead of an actual Jr Frosty size. Oh and most of the time they forget spoons, napkins, straws, and the receipt... I understand though that the they are shorthanded on staff, so that might be the issue."", 'My order was 95%wrong. I was home when I open the bag. The fries were great, but I ordered ketchup and pickle on my cheeseburger... got mayo and no cheese. My husband ordered the pretzel bun special,  only got the burger cheese... no crispy onions and the rest. Have never gotten it so wrong at this location.', ""Although I always enjoy Wendy's spicy chicken (when I finally get it in my correct order)..\nBut for some reason, ordering through the mobile app or drive through in Pittsburgh is such a VERY disappointing experience.. it's actually as if they'd take you for granted or if there aren't any other fast food restaurants.\nSuch a shame for a corporate to not check on a VERY poorly trained employees who are mostly inexperienced kids."", 'All the people complaining about long wait times need to get over it. There’s super high demand for employees and not a lot of people are working here. ALSO the people that do work at the Wendy’s here are so nice and I think they are doing a great job']",,,,,,,,,,,2205,3.4,0.0
1,Mcdonald's,3708 Forbes Ave,fast food,"(40.4411854, -79.9571904)",1.0,True,True,True,True,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","[""This place is such a hit or miss experience. I usually place a mobile order and wait about 10-15 on average once I'm there. That's fine. They're generally very busy and don't seem to cope well with rush times.\n\nThey were busy today too but it was horrible. The one single person actually filling orders was arguing with a customer about what she put in his bag saying that she knew what she put in there. I don't see how that was possible given how she was running around. But even still the argument was ridiculous.\n\nThere were two people standing there having personal conversations with an off-duty employee offering no help to the one person trying to run it all.\n\nThe girl doing the drinks was so slow and so unable to do the job that I left without my drink (another person had gotten his food and been standing there for over 10 minutes waiting for his drink). I was just grateful to have gotten food . . . Or would have been if the burger wasn't undercooked.\n\nOverall,  this is about the worst experience I've had when my expectations were basically zero."", 'It’s pretty bad. Kind of dirty when you first walk up to it. It took so long for a large fry. The workers seem like they don’t want to work there. This one woman is saying we need more fries and this guy doing the register has to stop and go over and drop fries in the deep fryer but why did the lady who was standing next to it do it? I would never come back. Slow Af.', 'The staff was extremely kind and my food was fresh… had to wait a little bit since it was so hot! The only downside is that most the the tables were dirty and it was freezing inside. They also forgot my second cheeseburger, but mistakes happen.', 'Surprisingly food was very fresh, DELICIOUS iced coffee. GREAT TURNAROUND for this restaurant.  My past experiences( and others) with this establishment were not good; way BETTER NOW🥰', ""I had a very rude lady wait on me she wasn't friendly at all barely spoke to me. This was the worst McDonald's I have ever been too and also the most expensive. Do not recommend going to this location""]",,,,,,,,,,,1219,3.2,0.0
2,Taco Bell,2050 Lebanon Church Rd,fast food,"(40.3479413, -79.94779539999999)",1.0,True,True,True,True,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","['That night we were hungry & someone gave me their taco. Total enjoyment! That taco was one of the best that I’ve had in years.', 'I had the BEST experience at this location yesterday. Emma and her manager, (woman with long blonde braids) could not have been sweeter or more efficient. They were perfect. So glad I stopped for lunch. I’ll be back every chance I get. Leaving my name, so they can see the review and who left the review because I promised them I would, since they did such a great job!\n\n-Mercedes (Pittsburgh outreach voter registration)', ""Good staff. Can really tell they're trying more than a lot of Taco Bell locations around the city. Quick orders. No mistakes. Well prepared. Hope they can keep up this quality!"", ""The employees were nice and the food was good.  However, Taco Bell doesn't seem to have anyone specifically in charge of customers who walk in and want to order at the register.  It was a ten minute wait for someone to actually come up to take an order.  I feel bad saying anything because theyre likely short staffed, and trying.  But there should be a sign saying ordering at the counter may cause a longer than normal wait time due to understaffing, and we encourage use of the kiosks."", 'Service was slow. I ordered 2 sour creams at 80 since each to only receive what could only be described as a dab. It was an unbelievable small trickle of sour cream. 1 used to last a whole quesadilla this last barely a piece or 2. When I asked the worker was very dismissive.']",,,,,,,,,,,2012,3.8,0.0
3,Five Guys,"Ppg Place, 3",fast food,"(40.4401286, -80.00268179999999)",2.0,False,True,True,True,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","[""This is the fifth Five Guys I've been to. After trying to get to the Oakland location which was too hard to park near on a busy Friday night, I decided to go downtown to this location. Ordered a bacon cheeseburger, Cajun fries, and chocolate milkshake. Overall it was a reasonably quick and smooth process, restaurant was clean and orderly.\n\nDespite being on the menu, I ordered a coffee milkshake only to be told they don't have that flavor and maybe haven't for about a year! Perhaps cover it on the menu after that long, haha. Fries were great as usual but weren't overflowing in the bag like I've had every time I've gone to the Ross Park Mall location. It truly felt like a 'small' because of that. Burger was good but this is the last time I'll get it with lettuce. Unlike Wahlburgers which gives a nice green leaf, this was the unpleasant white, hard type of lettuce which isn't for me personally."", 'I live close and been to this place more than 100 times ! It’s clean and the food is always good! Best burger ever.', 'Burger was good and usual five guys quality but this location is so skimpy on the fries. Nearly $4 for little fries and they just fill the tiny cup whereas every other five guys fills the cup plus a ton extra in the bag. For that reason I’ll probs skip going to this location unless I’m just getting a burger.', 'The food was good and hot when it came out. They have a really good chocolate shake. The staff was great, but the bathroom was nasty.  The staff took care of it ASAP. I hope my experiences with the food is the same when I go back again.', ""You can't beat the experience of their burgers and ais air burgers and especially their fries. Polite service, nice environment, friendly people --  Including customers. Also near Market Square in Downtown.   I'll be back for sure.""]",,,,,,,,,,,982,4.3,0.0
4,Mcdonald's,801 Allegheny Ave,fast food,"(40.45083959999999, -80.0189925)",1.0,True,True,True,True,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","[""Want your food to be half made? This is the McDonald's for you! Bacon burger had no bacon, chicken sandwich had no sauce or any other topping, fries were cooked for a maximum of 45 seconds. My delivery driver was stuck in line for almost 45 minutes. I've worked food service for years so I'm very understanding about the fact that mistakes get made but this is not the first time this store has failed to provide even remotely decent service. Pack it up."", 'Horrible service, typical downtown fashion. Couldn’t use the restroom. Tighten it up a bit, have more compassion for folks from out of town as they try to navigate your beautiful city.', 'Took a really long time in the drive through at 6:30am, waited about 30 minutes before I got my food. Food was fine.', 'I put in an online order, 30 minutes before my boyfriend had to leave for work, we sat outside and waited for 20 minutes!! Finally I sent my boyfriend inside and no one talked to him at all for the next 5 minutes he was waiting for someone. And no one came out with our food, so we had to leave so he wouldn’t be late to work, I called and was told I can receive a refund but was never given a name and they tried to make the excuse that we weren’t out there when they came out. I came back the next day and the people inside were actively ignoring my boyfriend but after a while we got help and was told we couldn’t get the refund but they’ll make the food. SUPER DISSATISFIED.', 'Been coming here for years because it\'s close. I have never even come close to having even an average experience here. It is understaffed always, even before the pandemic. Now it\'s just the worst. Half the time after waiting in line for 20 minutes they\'re like ""we can\'t serve you because we\'re understaffed"" wish they would pay their employees better. Maybe then they could be fully staffed.']",,,,,,,,,,,1616,2.9,0.0
5,Five Guys,1029 Freeport Rd,fast food,"(40.4880804, -79.88554959999999)",2.0,False,True,True,True,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","['This franchise and their food speaks for itself. You get what you pay for. Good quality food, great flavor! The Cajun fries! Yum!🔥 I love the red & white retro design too.', 'Usually much better service and quality but for some reason today, patties crispy on one side, not enough toppings, fries were undercooked and not the typical portions. Not worth the price paid.\nWe all have bad days and this was probably one of them....', ""I really do not understand how this place has almost 5 stars. The food did not taste good. Almost $60 and we threw most of it away. Buns seemed old. Grilled cheese were black from being burnt. Not sure why my food tasted like onions. Maybe they grilled onions at the same time. Very disappointing. Maybe it was just a bad day, a really bad day. Probably won't be coming back. Too expensive to throw away."", ""Burgers are always amazing, generally the fries are also, but not recently. Very soggy, couldn't finish them, which is a bummer because they're usually really good."", 'This food is the best I had in all my years of living and I just had the fries definitely coming back']",,,,,,,,,,,430,4.4,0.0
6,Mcdonald's,549 Clairton Blvd,fast food,"(40.3317428, -79.9454031)",1.0,True,True,True,True,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","[""We stopped for breakfast and they are very quick to take your order. They were friendly on the speaker and in person. Our order was fulfilled fast and most was just right!! The burritos seem to be shrinking... We've ordered these a long time and over time they've gotten smaller and smaller!?!? That's my only complaint... And included a picture of the burrito🙄🙄"", ""Overall, good experience ordering an early breakfast.\nI ordered from the app and used curbside delivery since the restaurant does not open until 8 am and at today's gas prices, I did not want to keep the engine running at the drive through.  I am removing one star since the employee who brought me my food said I should know for future reference that the curbside delivery does not start until 7 am.  If they do not want to offer curbside delivery before 7 am, it should not be an option on the app.  The app advises as to when we can enter the dining room.  They should be able to also indicate when curbside delivery is available.  Otherwise, food was good and I will probably return someday."", ""For someone who doesn't drive it can be lightly annoying as you never know if they are going to allow you inside or not as it's a crapshoot to whether or not their doors are open. You can order curbside on the app, but that takes a while after you've discovered that the doors aren't open.\n\nThey are fairly quick though, and most of the time I can make it in and out in under 15 minutes. Which is a lot better than some of the other food choices in the plaza.\n\nYou cannot pay cash if you go inside as they do not tend the registers and have signs up saying to use the kiosks. If you have a problem with said kiosk and it directs you to pay at the register? Good luck! They will ignore you for a good while before they figure out what's going on. Not sure if it's a short staff sort of situation or if they are just choosing to direct their manpower elsewhere but I do deeply miss being able to pay cash.\n\nIt's rare someone is particularly happy or friendly- but I can't blame them."", 'It was super busy when I got there, the drive through was packed. I went inside to place my order, the other customers were impatient and getting anxious because no one was working the counter. No one was acknowledging the customers in the dinning area. It was just a busy day. I waited patiently and once I got my food the kid gave me a card for a free meal for waiting. And that I really appreciated.', ""Food was disgusting, ordered with no butter, came out loaded with butter and grease. Took it back and asked for it to be remade. Guy just rolled his eyes at me and walked away. Guess i paid $6 for a sandwich I can't eat.\n\nPeople eating in the prep area, not washing hands after eating and drinking.""]",,,,,,,,,,,1029,3.3,0.0
7,Mcdonald's,2090 Lebanon Church Rd,fast food,"(40.3479004, -79.9453063)",1.0,True,True,True,True,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","[""This Rice McDonald's will poison you for a fee of $8.59 plus tax. Thank you, Michelle Rice, for slyly ignoring every problem... how far down the gutter this particular McDonald's lies. Do you feed your children this food? Did your father serve food like this? Reaching into the fryer and eating random things while preparing food, vaping in front of a large drive-thru window for all the cars waiting to pay for their food to see, lying to customers about who the manager is, choosing whenever they feel they are ready to open, consistently making uncooked burgers, serving children two buns and ketchup, there is no end to the idiocy and zero shame from one. Single. Employee. Not an I'm sorry. Not a thank you. It's disappointing these are nearly half the problems. This is a small waste of space on a large globe. And if you still decide to visit the Lebanon Church Rd. McDonald's after reading this entire review, you should grab an application while you're there, they'd love to have you on their team."", 'This McDonalds was so clean and nice. I used the kiosk to order my food. It was fast and efficient, the employees answered my questions. I ordered 40 nuggets I asked to be made fresh. They were not real hot didn’t feel like mentioning it. The children enjoyed the nice play area!', 'This place always has frappes the one in Duquesne and the waterfront never has them and the customer service at this location is amazing!! Help me help you I wanna become your number one Google tour guide like and follow for honest reviews!!', 'Went through got order and got home 2 eat and burger was raw looked ok on outside and inside was raw. Tried to call restaurant and phone number is disconnected', 'Ordered a big mac meal they didnt put the mac sauce on it and then removed the top bun to put ketchup on it and there was hair on the bun']",,,,,,,,,,,1912,3.2,0.0
8,Mcdonald's,4235 Walnut St,fast food,"(40.3209611, -79.8357455)",1.0,True,True,True,True,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","[""SAVE YOUR MONEY\n\nSAVE YOUR TIME .\n\nQuality of the food could be better\n\nWhoever made my burrito 🌯 NEEDS to go back to training. RIGHT AFTER 👀 I seen my poor excuse for breakfast 📞I Called to let them know I'm unsatisfied 😡 and I feel like I deserve for my food to be remade. I was treated rudely and hung up on multiple times VERY POOR SERVICE\nFOOD QUALITY COULD BE VASTLY IMPROVED"", ""Terrible customer service. Not one person greeted us no thanks no have a great day no you food will be one moment. Completely ignored. Then the food save your money and go to Wendy's. Not only did it come out the bag falling apart the meat didn't even cover the bun. Crispy chicken was more like rubbery with zero flavor."", ""Went a little after 7pm with my two children. We went in and tried to order. They refused, and really wanted me to WALK MY TWO LITTLE CHILDREN THROUGH THE DRIVE THROUGH! Pretty sure the door says dine in until 9 on Thursdays. It's  not my fault they can't get anyone to work."", ""The absolute worst around. For awhile my orders were great but the last 2 months it's been a joke. Sat in line for 20 minutes to get a drink because I love theirs. No problem until they tell me they only have bottled water. If this was posted on the first menu sign it would've saved me 5 to 10 minutes of sitting. Consistently get orders wrong and slap the food together. I get its fast food but this is next level lol.  Closed when the website says they are open several times as well. One time we went and they gave us the wrong sized drinks and sat in the restaurant listening to explicit music and talked for 15 minutes while we were sitting at the window waiting still. Ridiculous. Everywhere is understaffed and underpaid  but sitting and playing explicit music while a customer is in the drive through is absurd."", ""I ordered around 7 pm on the app for lobby pick up because it said it was open. I go and see people inside but every single door is locked, so I get into the drive through. I wait 25 minutes in line and pull up to the speaker and try to explain the situation to them, as I don't have a mobile code but a receipt I wanted to show them. The manager then yells at me and tells me to reorder and get back in line even though the transaction went through already. I spoke with customer service and they said they would give me a refund and a meal voucher. It's been 3 weeks since then and now they aren't replying. Just disappointed as it was nice to have a McDonald's so close to home but I have no desire to go back after this awful interaction.""]",,,,,,,,,,,1000,2.7,0.0
9,Five Guys,117 S Bouquet St,fast food,"(40.442255, -79.956713)",2.0,False,True,True,True,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","[""First, the food was great and came out relatively fast... the restaurant was not busy maybe 8-10 others in there. but I feel it was extremely over priced for what you get. I paid $17 for a single patty burger and a regular order of fries and regular drink.  Seems high but I'm not sure what other places near by charge. Anyways, a few staff members seemed rude and less than enthusiastic to be there. The restrooms had no soap or paper towels which is disgusting for the hygiene of the staff members. Would probably not return."", ""I don't eat red meat but my kids do so they love it. I do love the fries though. Remind me of the old Original fries that use to be in Oakland.\n\nBut the prices are outrageous at 5 guys."", ""I've only been here a few times but my wife loves it and so did our son and I.  Tons of fries they give for your whole party to eat.  The burgers were good (as expected) and it is a good spot for a quick bite to eat."", ""The burgers are packed and fully customizable, and the fries are delicious with just the right amount of seasoning. However, a meal adds up quickly when you can get an equally filling meal elsewhere for less.\n\nThe interior is a fun red and white, old fashioned burger joint. It's kept clean and there's a good amount of seating. The peanuts are free to snack on, especially nice if waiting in line."", 'Took to long to get my budget and fries.  When I got them it was the wrong burger.  My fries were cold by the time I got my burger.\n\nI ordered on line from them and got the wrong burger. They claimed it was not their fault and would not send me the correct order.  I asked to speak to a manager and at told they would call me back.  He never did']",,,,,,,,,,,1113,4.3,0.0
