items_id,restaurant_id,items_name,items_price
0,1,Cheesy Fiesta Potatoes,$2.87
1,1,Quesarito,$5.99
2,1,Chicken Quesadilla,$6.47
3,1,Cheesy Gordita Crunch,$5.87
4,1,Crunchwrap Supreme®,$6.71
5,1,Mexican Pizza,$5.99
6,1,Veggie Mexican Pizza,$5.99
7,1,Mexican Pizza Combo,$11.75
8,1,Double Steak Grilled Cheese Burrito,$8.39
9,1,Spicy Double Steak Grilled Cheese Burrito,$8.39
10,1,Double Chicken Grilled Cheese Burrito,$7.79
11,1,Spicy Double Chicken Grilled Cheese Burrito,$7.79
12,1,Double Beef Grilled Cheese Burrito,$7.19
13,1,Spicy Double Beef Grilled Cheese Burrito,$7.19
14,1,Grilled Cheese Burrito,$5.39
15,1,Grilled Cheese Burrito Deluxe Box,$9.59
16,1,Chipotle Cheddar Chalupa,$5.39
17,1,Chipotle Cheddar Chalupa - Black Bean,$4.79
18,1,Chipotle Cheddar Chalupa Combo,$14.39
19,1,Taco & Burrito Cravings Pack,$19.19
20,1,Taco Party Pack,$26.39
21,1,Soft Taco Party Pack,$26.39
22,1,Supreme Taco Party Pack,$32.39
23,1,Supreme Soft Taco Party Pack,$32.39
24,1,Mexican Pizza Combo,$11.75
25,1,Grilled Cheese Burrito Deluxe Box,$9.59
26,1,Chipotle Cheddar Chalupa Combo,$14.39
27,1,Chicken Quesadilla Combo,$11.51
28,1,Nachos BellGrande® Combo,$11.99
29,1,2 Chicken Chalupas Supreme Combo,$14.63
30,1,Crunchwrap Supreme® Combo,$11.51
31,1,3 Crunchy Tacos Combo,$9.83
32,1,3 Crunchy Tacos Supreme® Combo,$12.23
33,1,3 Doritos® Locos Tacos Combo,$11.15
34,1,3 Doritos® Locos Tacos Supreme Combo,$12.71
35,1,3 Soft Tacos Combo,$9.83
36,1,3 Soft Tacos Supreme® Combo,$12.23
37,1,Burrito Supreme® Combo,$11.75
38,1,Classic Combo,$7.19
39,1,Meal for 2,$15.00
40,1,Veggie Meal for 2,$15.00
41,1,Meal for 4,$25.00
42,1,Taco & Burrito Cravings Pack,$19.19
43,1,Taco Party Pack,$26.39
44,1,Supreme Taco Party Pack,$32.39
45,1,Soft Taco Party Pack,$26.39
46,1,Supreme Soft Taco Party Pack,$32.39
47,1,Variety Taco Party Pack,$31.19
48,1,Supreme Variety Taco Party Pack,$34.79
49,1,Drinks Party Pack,$4.80
50,1,Fire Sauce Packet,$0.00
51,1,Hot Sauce Packet,$0.00
52,1,Mild Sauce Packet,$0.00
53,1,Diablo Sauce Packet,$0.00
54,1,Mexican Pizza,$5.99
55,1,Veggie Mexican Pizza,$5.99
56,1,Chipotle Cheddar Chalupa,$5.39
57,1,Chipotle Cheddar Chalupa - Black Bean,$4.79
58,1,Chalupa Supreme®,$5.63
59,1,Black Bean Chalupa Supreme®,$5.15
60,1,Crunchwrap Supreme®,$6.71
61,1,Black Bean Crunchwrap Supreme®,$6.59
62,1,Cheesy Gordita Crunch,$5.87
63,1,Doritos® Cheesy Gordita Crunch - Nacho Cheese,$5.63
64,1,Cheesy Roll Up,$1.20
65,1,Chicken Chipotle Melt,$2.39
66,1,Soft Taco,$2.27
67,1,Soft Taco Supreme®,$3.47
68,1,Crunchy Taco,$2.27
69,1,Crunchy Taco Supreme®,$3.47
70,1,Nacho Cheese Doritos® Locos Tacos,$3.35
71,1,Nacho Cheese Doritos® Locos Tacos Supreme®,$4.07
72,1,Spicy Potato Soft Taco,$1.20
73,1,Double Steak Grilled Cheese Burrito,$8.39
