restaurant_id,restaurant_name,restaurant_type,address,rating,avg_price,rating_numbers,comments,url,delivery_fee,avg_dilivery_time
0,Wendy's  (5422 Baum Blvd.),Fast Food,None,4.3,None,None,None,https://www.ubereats.com/store/wendys-5422-baum-blvd/x9F4Ni7SSw-rrW1a9YZQ-A,4.49,"(50, 65)"
1,Taco Bell (4801 Mcknight Road),Fast Food,"4801 Mcknight Road, Pittsburgh, PA 15237",4.6,6.6562130177514875,42,{},https://www.ubereats.com/store/taco-bell-4801-mcknight-road/Tu-IWHrDTnWZb0tqCp_HyQ,4.49,"(35, 50)"
2,Chaparros Tacos,Fast Food,"219 Atwood St, Pittsburgh, PA 15213",4.3,10.596341463414639,84,"{'%100 one of the best chicken quesadillas I’ve had in a long time.', 'They’re delicious and have your food ready in just the right amount of time!', 'Loved the vegetarian quesadilla', 'Followed order exactly. And it was piping hot', 'Can’t beat 2am poppers', 'Great food, always!', 'Good food good price', 'Good', 'Delish', 'Delicious and hot', 'ABSOLUTELY AMAZING WILL BE BACK', 'Excellent', 'My girlfriend loves your food'}",https://www.ubereats.com/store/chaparros-tacos/t7OmBSpXTH63mPUyxmhelQ,0.49,"(30, 45)"
3,Sheetz - 973 William Flynn Highway (678),Fast Food,"Location and hours973 William Flynn Highway, Glenshaw, PA 15116",4.6,,200,"{'Sheetz is always excellent.', 'Beverages very good', 'Always fresh and great', 'Great!?', 'Always love me some Sheetz', 'This place is better then fastfood restaurants...food is always hot and fresh...great prices', 'I did not get the soft pretzel.  The delivery was very good and patient.  I appreciated the good service', 'Great', 'This place is great if the driver delivers to the right address...', 'One of the best places for quick food. Great spicy chicken...pizza.. appetizers', 'Always hot n fresh...great apps, sandwiches', 'Best spicy chicken sandwich ever!!!'}",https://www.ubereats.com/store/sheetz-973-william-flynn-highway-678/mBQD2AGbSO6uf1SqQ4-jmw,1.99,"(40, 55)"
4,Genoa Pizza Pitt,Fast Food,"111 Market St, Pittsburgh, PA 15222",4.7,14.00538461538455,200,"{'I just love the speed of getting my food and all the good folks who work there!', 'Great service. Great food.', 'Great pizza! And open late makes it a must get for us!', 'Best pizza in downtown Pittsburgh!', 'Great pizza', 'the wings are great and remind me of my childhood.', 'Almost everything we’ve eaten from here was good. Definitely our go to spot.', 'Food is awesome', 'Used to work across the street. Consistently good pizza! Thanks for doing what you do.', 'Pizza was great!', 'Greatness', 'Very good sauce. Love their pizza.', 'Great food - reasonable price - quick delivery 😊', 'It was good', 'They make the best medium pepperoni and banana pizza in the city! We get it weekly, if not multiple times a week!', 'It was a really good pizza for in the middle of the night kind of expensive in the end but great and it actually showed up with me', 'It’s so delicious!!!', 'Everything I’ve had from there is very delicious.', 'Food is always fresh and taste amazing ! And the ranch is my favorite 😂😮\u200d💨💗', 'Their pizza is very simple and they do simple well. I will be a returning customer!', 'The best pizza!!!!!', 'I LOVE THERE FOOD .. THE PORTIONS ARE BIG AND TASTIE.. THANK YOU.', 'Pizza is always great and the ranch is delicious', 'Simply the best! Really good ingredients coupled with reasonable prices AND they have really bomb salads for people who try to eat healthy on Pizza Day.', 'I love genoas because I know the hoagies and cheese fries are  always going to be fantastic and that I’ll get my food delivered before the time because they never take long', 'Great Italian hoagies, fastest place ever', 'My orders always spot on and gets here quick. Probably my favorite white pizza with thin crust.', 'We love Genoa their pizza is so consistent the sauce is not too sweet it’s our always baked perfectly the wings are super fresh always the ranch is amazing the fries are super crispy this place is one of our favorites totally worth it  da bomb!', 'i love the food they get it right everytime inside the store and through Uber!', 'They have great food', 'we love genoa pizza! it’s consistently the same thing. ordered over more than 8 times', 'Good pizza everytime', 'The dough on their pizza is exceptional! Quality food every time!', 'Is there food quality and taste is really good and the delivery for them is fast', 'Great Pizza, also great hoagies and chicken!', 'The pizza is really good, they’re usually fast at making stuff and they’ve never messed up an order. Also the pepperoni rolls are awesome.', ""INCREDIBLE, HUGE SALADS!  ordered after midnight, super fresh and crisp w/the veggies and croutons, warm and well spiced on tnhe meats, each regular size salad was enough to split and have some left still!  The price can't be beat!!"", 'Always fresh and delicious!', 'They are great people who stay open late', 'Good price for good food. Open late!!!', 'Tasty food they never disappoint', 'Yummy!', 'gluten free pizza is 10/10', 'Good', 'Always fresh - always delicious!', 'Pizza was good', 'Pizza is bomb! All of their food is bomb', 'Great gluten free pizza!', 'Outstanding pizza', 'It is very good', 'i enjoy the wide variety of goid quality food', 'Best pizza in the city. Never had a bad order, it’s always hot, fresh and exactly what we want.  Their pepperoni rolls are incredible, pizza hits the spot if you’re craving pizza. We discovered this place on Uber eats and it’s now our go to.', 'Best food in the city', 'This is by far the best pizza place in Pittsburgh. The deluxe pizza, Italian hoagie, and breaded wings are absolutely delicious and the homemade ranch is definitely the best I’ve ever had. 10/10 would recommend <3', 'Driver was very kind, on time.', 'I love the pricing and the food is delicious', 'Very well made a delicious food. Food is always made correctly.', 'Best pizza around!', 'they have fried cauliflower which is a must. they also have quality pie anr pasta', 'Love their Hawaii pizza and ranch sauce', 'Great wings great pizza', 'Fresh pasta and salad', 'open late! great food! quick delivery!', 'Excellent as always! It comes w/ their ranch sauce but Ask for the garlic butter too.', 'It’s good pizza!'}",https://www.ubereats.com/store/genoa-pizza-pitt/KRhxb67LSSa9exVIx8Z2UA,0.49,"(20, 35)"
5,Shah's Halal Food - Pittsburgh,Fast Food,"412 Semple Street, Pittsburgh, PA 15213",4.7,9.116000000000005,200,"{'So good and yummy gyro', 'Fresh, Tasty Food', 'Great meats', 'Always delicious & always great sized portions', 'Best', 'It’s so good 😊', 'good portions and tasty platters!', 'I love the fresh ingredients And proportions', 'Their food is so good!', 'I am a vegetarian, the falafel rice combo is a wholesome meal for me. I like it with french fries, baklava and coke.', 'Great food n service', 'Simple clean consistent food', 'Just a great lamb dress', ""amazing food, tasty, nice portions and always delivers with excellence. Highly recommend to order from Shah's"", 'Delicious, fresh, and warm…every time!! Thank you!!', 'This food is absolute fire I love you guys', 'Delicious! Exactly what we wanted. Will be back.', 'so delicious every time', 'very fresh and tasty', 'The food is always so refreshing and their green chutney is the star of the show.', 'The chicken over rice meal is to die for!', 'Delightful experience', 'The taste of rice like pilov from my country and of course the quality of meat and the way they cook is juicy and nice ! Chickpeas I’m the food make sense to me a lot for sure !', 'Lots of options, delicious food and great quantity', 'Consistently amazing food! Combo plate is so yummy. And love their hot sauce!', 'Their food is quick delicious and filling.', 'delicious and refreshing food thats good to fill up on', 'Good real food!! We love that we can order real food late.', 'Best tasty and fresh', 'Delicious, fresh, & consistent !', 'its the best food i had in Pittsburgh and best test too', 'It’s just so good and spicy', 'Great food and fast delivery every time!', 'Really affordable and tastes good', 'It’s always fresh especially the veggies, it seems healthier than a lot of other food choices, not greasy. It’s just overall a great choice.', ""It's so delicious! Well-seasoned and filling!"", 'The authenticity and taste of the food is unmatched and never gets old', 'Great food, specially there rice platter. Just amazing, filled with right protein and flavourful contents. Just love the place 🙌', 'The food is simply good to eat. Always worth the order.', 'love the food! reminds me of home', 'Amazing food with amazing sauce', 'Great food and usually pays attention to notes! Quick and always fresh', 'their chicken platter is everything!! and with the hot saaaauce', 'Great food at a pretty low price. What’s not to like?', 'The food is well balanced, looks great with fresh vegetables. Everything tastes excellent', 'Delicious food and great for gains with lots of protein.', 'Perfect!', 'Amazing service, delicious food', 'The food is amazing their service is very fast', 'Food is fire', 'The mixed over rice combo is fire', 'i love the food 😋 the lamb is the best they give a good amount of it too! and that hot sauce miced with the white sauce is heavenly', 'This Gotta Be The Best Food Ive Ever Ordered From Uber Eats', 'Love the food:) and it is super healthy.  Amazing place', 'I have an obsession with the chicken and rice I love it so much the flavor just has a party in my mouth :))', 'There food is really delicious', 'Great eats', 'Very good food'}",https://www.ubereats.com/store/shahs-halal-food-pittsburgh/L8ndpPPtSW2wOIkIyyX_qw,0.49,"(35, 50)"
6,Wings Over Pittsburgh (Carson),Fast Food,"2525 E Carson St, Pittsburgh, PA 15203",4.5,32.15948717948717,200,"{'Late night deliveries even with them close to closing, thank you!', 'Best sauce!!', 'great chicken, as always, but expensive on ubereats :(', 'Definitely a surprise… wow', 'Great as always, I love how crispy the skin is', 'Awesome wings', 'From CA and this is it. Crispy wings with so much flavor', 'Rapido y delicioso 😋😋😋 volveré a ordenar otra ves', 'Fire', 'Good fast', 'Fast and friendly service', 'great', 'Food was hot.  Received everything exactly as ordered. Wings were great!'}",https://www.ubereats.com/store/wings-over-pittsburgh-carson/Ezxq9vffQPaXv0iMCV_gCQ,0.49,"(40, 55)"
7,Papa Johns (258 Yost Blvd.),Fast Food,"258 Yost Boulevard, Pittsburgh, PA 15221",4.3,10.374897959183679,116,{'Delish'},https://www.ubereats.com/store/papa-johns-258-yost-blvd/SPcLXdOoVJ2j3nGctEU48w,9.99,"(55, 70)"
8,7-Eleven (195 North Craig St),Fast Food,"195 North Craig St, Pittsburgh, PA 15213",4.6,5.234545454545455,172,{'Good'},https://www.ubereats.com/store/7-eleven-195-north-craig-st/owLDrixRTBCRM__Niyx6Eg,3.49,"(25, 40)"
9,Pizza Bellagio,Fast Food,"4635 Centre Ave, Pittsburgh, PA 15213",4.4,14.753440860214997,56,"{'Great pizza gluten free gluten free toppings a lot of choices. Great!', 'pizza never disappoints, my kids love it. never had any complain from this spot.  anything we have ordered has been delicious.', 'Great pizza gluten free. Wonderful', 'buffalo chicken gournet pizza is AWESOME thank you 👍', 'They have the best wings in da burgh', 'They always serve tasty ,fresh, pizza.', 'Pizza is cooked to perfection.  Never had a bad experience with the staff or food.', 'Very good service! Always fresh, hot food & fulfills all my requests! Thank you!', 'It’s sooo good', 'They have great chicken strips', 'Good pizza. Love the garlic sauce', 'I love pizza Bellagio because it helps me with everything', 'The pizza is delicious', 'Don’t get the steak hoagie.', 'love their food & service', 'Love the Sicilian pizza! The crust was perfectly crisp but soft and sooo good and the toppings just as we asked in the notes. The only thing is that there could have been a bit more cheese.', 'amazing', 'They have the best pizza and garlic bites in Pittsburgh!', 'Perfect every time!', 'Everything is always perfect!!!!'}",https://www.ubereats.com/store/pizza-bellagio/Iji2aVLLQz2GRODtZoWDtQ,0.49,"(30, 45)"
10,Beta Bites,Fast Food,"338 S Bouquet St, Pittsburgh, PA 15213",4.3,11.347500000000007,28,"{'Good taste good portions', 'Great Food  Will order again soon', 'bring back the chicken tenders and fries', 'The Steak Pannini is awesome.', 'Delicious as always!', 'super good always on time'}",https://www.ubereats.com/store/beta-bites/LSLLtZhPQX-Pdmhqk2KUMQ,0.49,"(35, 50)"
11,Route 67 Pizza (4901 Baum Blvd),Fast Food,"4901 Baum Blvd, Pittsburgh, PA 15213",4.5,14.5348275862069,15,{'It was fast and good quality especially for late night food. Was very happy'},https://www.ubereats.com/store/route-67-pizza-4901-baum-blvd/QTshJf20WiaytiGUqMlhWA,0.49,"(30, 45)"
12,Everyday Needs by Gopuff,Fast Food,None,4.8,9.104890829694329,200,{'quick and affordable with good delivery person.'},https://www.ubereats.com/store/everyday-needs-by-gopuff/-skUbFuqQM6B9mJxBkU1VA,2.95,
13,Packed Bowls by Wiz Khalifa (8651 University Blvd),Fast Food,"8651 University Blvd, Coraopolis, PA 15108",2.9,6.694444444444445,15,{},https://www.ubereats.com/store/packed-bowls-by-wiz-khalifa-8651-university-blvd/9KQOvZknW3WSfatHobKPBA,12.99,"(70, 85)"
14,The Ice Cream Shop,Fast Food,"1825 Boulevard Of The Allies, Pittsburgh, PA 15219",,8.827500000000002,,{},https://www.ubereats.com/store/the-ice-cream-shop/6EfWxeXWUe2t8crruXug8A,3.99,
15,Rite Aid (1700 Murray Avenue),Fast Food,"1700 Murray Avenue, 1604 , Pittsburgh, PA 15217",4.5,12.038764940238977,11,{},https://www.ubereats.com/store/rite-aid-1700-murray-avenue/xmxC6ShJWYWMAEuPzkj86g,2.99,"(45, 55)"
16,Primanti Bros. (Market Square),Fast Food,"2 Market Square, Pittsburgh, PA 15222",4.5,9.876956521739132,65,"{'Delicious, classic, Pittsburgh fare!', 'Amazing', 'Good food and delivery', 'UberEats in my opinion is extremely fast. Very happy. Highly recommend. Thank you.'}",https://www.ubereats.com/store/primanti-bros-market-square/qN1VmnneSSmzZyDmCevFhQ,,
17,Moe's Southwest Grill (210 Forbes Avenue),Fast Food,"210 Forbes Avenue, Pittsburgh, PA 15222",4.5,11.916666666666666,200,"{'Great food in a town where great food is scarce', ""Best tacos I've had in awhile!""}",https://www.ubereats.com/store/moes-southwest-grill-210-forbes-avenue/Ao46n0YFTT-s53LKRgAbXQ,,
18,Betsy's Ice Cream,Fast Food,"664 Washington Road, Pittsburgh, PA 15228",,6.735294117647059,,{},https://www.ubereats.com/store/betsys-ice-cream/a1laog93TbC6ryLPZtR0Aw,,
19,Kiyoshi Bistro,Fast Food,"6506 University Blvd, Coraopolis, PA 15108",4.5,13.968749999999996,36,{},https://www.ubereats.com/store/kiyoshi-bistro/VY1Kz8-SWJy_8avXtTh96A,,
20,Tropical Smoothie Cafe (9898 University Boulevard),Fast Food,"9898 University Boulevard, 60, Moon Township, PA 15108",5.0,7.036969696969701,76,"{'So delicious and fast delivery!', 'Fast and easy!', 'Wonderful smoothies'}",https://www.ubereats.com/store/tropical-smoothie-cafe-9898-university-boulevard/b3kr9l9yRUOLrAUEAVqLPQ,,
21,Arby's (808 Liberty Ave.),Fast Food,"808 Liberty Ave., Pittsburgh, PA 15222",4.3,5.212535211267602,30,{},https://www.ubereats.com/store/arbys-808-liberty-ave/Lq8sEYLdTkSoCp5sYJUMLw,,
22,Hyde Park Prime Steakhouse - Downtown Pittsburgh,Fast Food,"247 North Shore Drive, Pittsburgh, PA 15212",4.7,42.4728813559322,27,"{'Delicious tacos, hot, delivered on time', 'Food is always perfectly cooked and very delicious. It also always arrives at the perfect temperature.'}",https://www.ubereats.com/store/hyde-park-prime-steakhouse-downtown-pittsburgh/a4JYvi8ZRDKM36TGa2fsxg,,
23,Hardee's (1201 North Ave),Fast Food,None,4.6,2.604375,79,{'Great breakfast sandwiches great prices!!!'},https://www.ubereats.com/store/hardees-1201-north-ave/eIU0tM3yVySKRz7Pvr9BCw,,
24,Pita Paul's Gyros,Fast Food,"1000 Ross Park Mall Drive, Pittsburgh, PA 15237",,6.527241379310345,,{},https://www.ubereats.com/store/pita-pauls-gyros/6Bal3hyVVJ2LFi54MwzWJw,,
25,Cosmic Wings (Edgewood Towne Ctr),Fast Food,"1601 South Braddock Avenue, Pittsburgh, PA 15218",,8.21384615384616,10,{},https://www.ubereats.com/store/cosmic-wings-edgewood-towne-ctr/BxUrYT_uSYOl-9qLEdePXg,,
26,Original Big Shot Bob's Kennedy,Fast Food,"1734 Pine Hollow Road, Kennedy, PA 15136",4.4,10.643846153846159,25,"{'The food here never disappoints. Amazing flavor, suc a huge variety.  very consistent.', 'Amazing food !!!! Always the best', 'if you want consistent amazing great portion food this is the spot!! always fresh ingredients food never dry they r the original bsb cause these people deliver quality every time', 'The food is simply great.  No matter what you order, expect the best!'}",https://www.ubereats.com/store/original-big-shot-bobs-kennedy/pSq5GtOFStixerwUSuErjQ,,
27,The American Dream Kitchen (820 Pennsylvania Ave),Fast Food,"820 Pennsylvania Ave, Pittsburgh, PA 15233",,10.612222222222229,,{},https://www.ubereats.com/store/the-american-dream-kitchen-820-pennsylvania-ave/mZjpwcbCUnWvPmnIOf7t3w,,
28,Baskin-Robbins (5241 Liberty Ave),Fast Food,"5241 Liberty Ave, Pittsburgh, PA 15224",,,,{'Good'},https://www.ubereats.com/store/baskin-robbins-5241-liberty-ave/M03fegdNT8OmwHFk1J90Qw,,
29,Country Southern Diner (820 Pennsylvania Ave),Fast Food,"820 Pennsylvania Ave, Pittsburgh, PA 15233",,11.141162790697681,,{},https://www.ubereats.com/store/country-southern-diner-820-pennsylvania-ave/D6GqjCmqWMGX9DypLVvkIg,,
30,Rotisserie Roast (5200 Baum Blvd.),Fast Food,"5200 Baum Blvd., Pittsburgh, PA 15224",,6.71875,,{},https://www.ubereats.com/store/rotisserie-roast-5200-baum-blvd/DvJ94xDeRjG9UZZpuNQkbw,,
31,Chef Hanoka Sushi (1717 Cochran Rd),Fast Food,"1717 Cochran Rd, Pittsburgh, PA 15220",,19.14853658536586,,{},https://www.ubereats.com/store/chef-hanoka-sushi-1717-cochran-rd/Zdl9ivS0V4iaWD0gr4Rx3A,,
32,Chinese Seafood Catch (1717 Cochran Rd),Fast Food,"1717 Cochran Rd, Pittsburgh, PA 15220",,25.97913043478261,,{},https://www.ubereats.com/store/chinese-seafood-catch-1717-cochran-rd/zCxGCmZbUj6LxF6y_LeVEg,,
33,Devil's Hot Wings (Pittsburgh),Fast Food,"820 Pennsylvania Ave, Pittsburgh, PA 15233",,11.271250000000004,,{},https://www.ubereats.com/store/devils-hot-wings-pittsburgh/wfoHTRRHSWueaCXNbfsT1g,,
34,The Burger Den (7319 Mcknight Rd),Fast Food,"7319 Mcknight Rd, Pittsburgh, PA 15237",,9.723548387096779,,{},https://www.ubereats.com/store/the-burger-den-7319-mcknight-rd/jZ02BFD_SAqoeoiZv5DFHw,,
35,Sbarro  (200 Monroeville Mall),Fast Food,"200 Monroeville Mall, PA 15146",,10.122666666666667,,{},https://www.ubereats.com/store/sbarro-200-monroeville-mall/xbByQSfsTMSKFwTFoT96_Q,,
36,28 Bridges Brewery,Fast Food,"1597 Washington Pike, Bridgeville, PA 15017",,11.754123711340203,,{},https://www.ubereats.com/store/28-bridges-brewery/Za7cElPuTqWONWtRYaSCiA,,
37,Halal Indian Monsoon (2890 Banksville Rd),Fast Food,"2890 Banksville Rd, Pittsburgh, PA 15216",,21.708750000000006,,{},https://www.ubereats.com/store/halal-indian-monsoon-2890-banksville-rd/zphRhzOvXEKeY1NXPkZsPQ,,
38,Wings Wings Wings - Crafton Heights,Fast Food,"1511 Stratmore St, Pittsburgh, PA 15205",,8.768857142857149,,{},https://www.ubereats.com/store/wings-wings-wings-crafton-heights/D9OMmnveXL63W7qGxikDIA,,
39,The Indian Tandoori Kitchen (2890 Banksville Rd),Fast Food,"2890 Banksville Rd, Pittsburgh, PA 15216",,14.744716981132083,,{},https://www.ubereats.com/store/the-indian-tandoori-kitchen-2890-banksville-rd/q2JW-IU7XNyRUs_gTD913A,,
40,Burger Addict - Crafton Heights,Fast Food,"1511 Stratmore St, Pittsburgh, PA 15205",,8.874615384615389,,{},https://www.ubereats.com/store/burger-addict-crafton-heights/gSl9ukf4V4Sm6Otjb1BsVQ,,
